NGC	_RA	_Dec	Mag
  55	3.7633333333333328	-39.22777777777778	 8.0
 104	6.026249999999999	-72.07805555555555	 4.5
 133	7.7820833333333335	63.35444444444445	 9.5
 146	8.259166666666667	63.27111111111111	 9.5
 188	11.110416666666666	85.33666666666666	 9.5
 224	10.692916666666665	41.269999999999996	 4.5
 225	10.86833333333333	61.78666666666666	 9.0
 253	11.88208333333333	-25.296944444444446	 7.5
 281	13.217916666666666	56.61888888888889	 7.5
 288	13.154583333333333	-26.597777777777775	 9.0
 330	14.063749999999999	-72.48138888888889	 7.5
 362	15.587916666666667	-70.84916666666666	 8.0
 381	17.094999999999995	61.58305555555556	 9.5
 436	18.894166666666663	58.815	 9.5
 457	19.770833333333332	58.33111111111111	 8.0
 559	22.37458333333333	63.31222222222222	 7.5
 581	23.317499999999995	60.71138888888889	 7.0
 598	23.477916666666665	30.66111111111111	 7.0
 637	25.76833333333333	64.00888888888889	 7.5
 663	26.507499999999997	61.24138888888889	 7.5
 744	29.644583333333333	55.471111111111114	 9.0
 752	29.447916666666664	37.671388888888885	 6.5
 869	34.76749999999999	57.147777777777776	 4.5
 884	35.62	57.11333333333334	 4.5
 956	38.10458333333332	44.643055555555556	 9.0
 957	38.40541666666666	57.52611111111111	 7.0
1027	40.66166666666666	61.53916666666667	 7.5
1039	40.50375	42.772777777777776	 6.0
1245	48.657916666666665	47.242222222222225	 9.0
1261	48.07125	-55.223333333333336	 9.5
1342	52.90458333333333	37.33444444444444	 7.0
1444	57.34833333333332	52.65888888888889	 6.5
1496	61.10416666666666	52.617777777777775	 9.5
1502	61.85333333333332	62.316111111111105	 5.5
1513	62.51458333333333	49.514722222222225	 9.0
1528	63.85041666666666	51.24527777777778	 6.5
1545	65.22208333333332	50.25888888888889	 8.0
1582	68.04416666666665	43.8525	 7.0
1647	71.54083333333332	19.07777777777778	 6.0
1662	72.12083333333332	10.943055555555556	 8.0
1664	72.74708333333332	43.708333333333336	 8.0
1746	75.90499999999999	23.817777777777778	 6.0
1770	74.25625	-68.41222222222223	 9.0
1778	77.0225	37.04833333333333	 8.5
1807	77.66083333333333	16.530277777777776	 8.5
1814	75.94749999999999	-67.28277777777778	 9.0
1816	75.94749999999999	-67.28277777777778	 9.0
1817	78.01124999999999	16.69611111111111	 8.0
1820	75.94749999999999	-67.28277777777778	 9.0
1829	76.18458333333332	-68.05	 8.5
1850	77.12083333333334	-68.76888888888888	 9.5
1851	78.50583333333333	-40.02194444444444	 7.5
1857	80.00791666666666	39.35805555555556	 8.5
1893	80.66083333333331	33.38972222222222	 8.0
1904	81.0575	-24.528055555555554	 8.5
1912	82.16999999999999	35.836111111111116	 7.0
1955	81.51291666666665	-67.47944444444444	 9.0
1960	84.03916666666666	34.13166666666667	 6.5
1962	81.61541666666666	-68.77972222222222	 8.5
1965	81.61541666666666	-68.77972222222222	 8.5
1966	81.61541666666666	-68.77972222222222	 8.5
1968	81.78875	-67.43	 9.0
1970	81.61541666666666	-68.77972222222222	 8.5
