006.0254	-72.0832	  104	 Gb	00 24.1	-72 05	s	Tuc	 	 30.9	 4.0	 	glob. cl.  !! vB, vL, vmCM                        	47 Tuc                             	  104	
010.1003	+41.6833	  205	 Gx	00 40.4	+41 41	s	And	 	 17.4	 8.0	 	vB, vL, mE 165deg , vgvmbM; = M110                	M 110                              	  205	
010.6753	+40.8666	  221	 Gx	00 42.7	+40 52	s	And	 	  7.6	 8.2	 	! vvB, L, R, psmbMN; = M32                        	M  32                              	  221	
010.6753	+41.2666	  224	 Gx	00 42.7	+41 16	s	And	 	178.0	 3.5	 	!!! eeB, eL, vmE (Andromeda); = M31               	M  31                              	  224	
010.6753	+41.2666	  224	 Gx	00 42.7	+41 16	s	And	 	178.0	 3.5	 	!!! eeB, eL, vmE (Andromeda); = M31               	Great Nebula in Andromeda          	  224	
011.9003	-25.2833	  253	 Gx	00 47.6	-25 17	s	Scl	 	 25.1	 7.1	 	!! vvB, vvL, vmE 54deg , gbM                      	Sculptor galaxy                    	  253	
014.1753	+61.0666	I  59	 Nb	00 56.7	+61 04	s	Cas	 	 10.0	    	 	pF, eL! (nf gamma Cas)                            	gamma Cas nebula                   	I  59	IC 59,63
014.8753	+60.8166	I  63	 Nb	00 59.5	+60 49	s	Cas	 	 10.0	    	 	pF, eL! conn with np one                          	gamma Cas nebula                   	I  63	IC 59,63
023.3003	+60.6999	  581	 OC	01 33.2	+60 42	s	Cas	 	  6.0	 7.4	 	Cl, pL, B, R, Ri, st 10...11; = M103              	M 103                              	  581	
023.4753	+30.6500	  598	 Gx	01 33.9	+30 39	s	Tri	 	 62.0	 5.7	 	! eB, eL, R, vgbMN; = M33                         	Triangulum galaxy                  	  598	
023.4753	+30.6500	  598	 Gx	01 33.9	+30 39	s	Tri	 	 62.0	 5.7	 	! eB, eL, R, vgbMN; = M33                         	M  33                              	  598	
024.1753	+15.7833	  628	 Gx	01 36.7	+15 47	s	Psc	 	 10.2	 9.2	 	glob. cl. , F, vL, R, vg, psmbM, rr; = M74        	M  74                              	  628	
025.4984	-89.3332	 2573	 Gx	01 42.0	-89 20	c	Oct	 	  3.6	13.5	 	F, S, R, glbM, Polarissima Australis              	Polarissima Australis              	 2573	
025.5753	+51.5666	  650	 Pl	01 42.3	+51 34	s	Per	 	  4.8	12.0	p	vB, p of Dneb; = M76                              	M  76                              	  650	
025.5753	+51.5666	  650	 Pl	01 42.3	+51 34	s	Per	 	  4.8	12.0	p	vB, p of Dneb; = M76                              	Little Dumbbell                    	  650	NGC 650-1
025.5753	+51.5833	  651	 Pl	01 42.3	+51 35	d	Per	 	     	12.0	p	vB, f of Dneb; = M76                              	M  76                              	  651	
025.5753	+51.5833	  651	 Pl	01 42.3	+51 35	d	Per	 	     	12.0	p	vB, f of Dneb; = M76                              	Little Dumbbell                    	  651	NGC 650-1
034.7503	+57.1499	  869	 OC	02 19.0	+57 09	s	Per	 	 30.0	 4.0	p	! Cl, vvL, vRi, st 7...14                         	Double cluster                     	  869	NGC 869 and 884
035.6003	+57.1166	  884	 OC	02 22.4	+57 07	s	Per	 	 30.0	 4.0	p	! Cl, vL, vRi, ruby * M                           	Double cluster                     	  884	NGC 869 and 884
040.5003	+42.7833	 1039	 OC	02 42.0	+42 47	s	Per	 	 35.0	 5.2	 	Cl, B, vL, lC, sc st 9; = M34                     	M  34                              	 1039	
040.6753	 -0.0167	 1068	 Gx	02 42.7	-00 01	s	Cet	 	  6.9	 8.8	 	vB, pL, iR, sbMrrN; = M77                         	M  77                              	 1068	
056.4503	+24.3666	 1432	 Nb	03 45.8	+24 22	s	Tau	 	 30.0	    	 	eF, vL, dif (Maia,  in Pleiades)                  	Maia nebula                        	 1432	
